quelle,typ,ziel,ziel_vorhanden
094977127,Verweis,094978239,True
094977127,Verweis,094978220,True
094977127,Verweis,094977011,True
094977127,Verweis,NEU-094977127-52,True
094977127,Verweis,094976937,True
094977127,Verweis,094976953,True
094977127,Verweis,094978212,True
094977127,Verweis,094978204,True
094977127,Verweis,094978190,True
094977127,Verweis,094976945,True
094977127,Verweis,094976929,True
094977127,Verweis,094978182,True
094977127,Verweis,094978174,True
094977127,Verweis,094978166,True
094977127,Verweis,094978158,True
094977127,Verweis,09497814X,True
094977127,Verweis,094978131,True
094977127,Verweis,094978123,True
094977127,Verweis,094978115,True
094977127,Verweis,094978107,True
094977127,Verweis,094978093,True
094977127,Verweis,094978085,True
094977127,Verweis,094978077,True
094977127,Verweis,094978069,True
094977127,Verweis,094978050,True
094977127,Verweis,094978042,True
094977127,Verweis,094976880,True
094977127,Verweis,094978034,True
094977127,Verweis,094947325,True
094977127,Verweis,094978026,True
094977127,Verweis,094916306,True
094977127,Verweis,09490524X,True
NEU-094977127-51,Verweis,094977127,True
09497702X,Verweis,094977127,True
09497702X,Verweis,094927405,True
09497702X,Verweis,NEU-09497702X-53,True
09497702X,Verweis,094978301,True
09497702X,Verweis,094978298,True
09497702X,Verweis,09497828X,True
09497702X,Verweis,094978271,True
09497702X,Verweis,094978263,True
09497702X,Verweis,094978255,True
09497702X,Verweis,094978247,True
09497702X,Verweis,094978239,True
09497702X,Verweis,094978220,True
09497702X,Verweis,094977011,True
09497702X,Verweis,NEU-09497702X-54,True
09497702X,Verweis,094976937,True
09497702X,Verweis,094976953,True
09497702X,Verweis,094978212,True
09497702X,Verweis,094978204,True
09497702X,Verweis,094978190,True
09497702X,Verweis,094976945,True
09497702X,Verweis,094976929,True
09497702X,Verweis,094978182,True
09497702X,Verweis,094978174,True
09497702X,Verweis,094978166,True
09497702X,Verweis,094978158,True
09497702X,Verweis,09497814X,True
09497702X,Verweis,094978131,True
09497702X,Verweis,094978123,True
09497702X,Verweis,094978115,True
09497702X,Verweis,094978107,True
09497702X,Verweis,094978093,True
09497702X,Verweis,094978085,True
09497702X,Verweis,094978077,True
09497702X,Verweis,094978069,True
09497702X,Verweis,094978050,True
09497702X,Verweis,094978042,True
09497702X,Verweis,094976880,True
09497702X,Verweis,094978034,True
09497702X,Verweis,094947325,True
09497702X,Verweis,094978026,True
09497702X,Verweis,094916306,True
09497702X,Verweis,09490524X,True
NEU-09497702X-53,Verweis,09497702X,True
094978301,Verweis,094977127,True
094978301,Verweis,09497702X,True
094978301,Verweis,094927405,True
094978301,Verweis,NEU-094978301-55,True
094978301,Verweis,094978298,True
094978301,Verweis,09497828X,True
094978301,Verweis,094978271,True
094978301,Verweis,094978263,True
094978301,Verweis,094978255,True
094978301,Verweis,094978247,True
094978301,Verweis,094978239,True
094978301,Verweis,094978220,True
094978301,Verweis,094977011,True
094978301,Verweis,NEU-094978301-56,True
094978301,Verweis,094976937,True
094978301,Verweis,094976953,True
094978301,Verweis,094978212,True
094978301,Verweis,094978204,True
094978301,Verweis,094978190,True
094978301,Verweis,094976945,True
094978301,Verweis,094976929,True
094978301,Verweis,094978182,True
094978301,Verweis,094978174,True
094978301,Verweis,094978166,True
094978301,Verweis,094978158,True
094978301,Verweis,09497814X,True
094978301,Verweis,094978131,True
094978301,Verweis,094978123,True
094978301,Verweis,094978115,True
094978301,Verweis,094978107,True
094978301,Verweis,094978093,True
094978301,Verweis,094978085,True
094978301,Verweis,094978077,True
094978301,Verweis,094978069,True
094978301,Verweis,094978050,True
094978301,Verweis,094978042,True
094978301,Verweis,094976880,True
094978301,Verweis,094978034,True
094978301,Verweis,094947325,True
094978301,Verweis,094978026,True
094978301,Verweis,094916306,True
094978301,Verweis,09490524X,True
NEU-094978301-55,Verweis,094978301,True
094919364,Verweis,094966222,True
094919364,Verweis,NEU-094919364-57,True
094919364,Verweis,NEU-094919364-58,True
094919364,Verweis,NEU-094919364-59,True
094919364,Verweis,NEU-094919364-60,True
094978298,Verweis,094977127,True
094978298,Verweis,09497702X,True
094978298,Verweis,094978301,True
094978298,Verweis,094927405,True
094978298,Verweis,NEU-094978298-61,True
094978298,Verweis,09497828X,True
094978298,Verweis,094978271,True
094978298,Verweis,094978263,True
094978298,Verweis,094978255,True
094978298,Verweis,094978247,True
