id,ist_ppn,titel,autor,autor_key,autor_original,jahr,jahr_quelle,reihe,band,band_key,startseite,endseite,abbilder,tafeln,tabellen,figuren,link
094949999,True,"Eclipsis Lunae partialis Ao. 1708. die 29. Septembris, p. m. observata Norinbergae","Wurzelbau, Johann Philipp von",wurzelbau-johann-philipp-von,"Wurzelbau, Johann Philipp von",1710,csv,01-misc,1,01-misc/1,249,250,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000273
094928495,True,De periodica Revolutione Cometae Annorum 1668. 1702. Disquisitio Chronologica,"Des-vignoles, Alphonse",des-vignoles-alphonse,"Des-vignoles, Alphonse",1710,csv,01-misc,1,01-misc/1,251,260,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000275
09496758X,True,"Epistola de novo suo Systemate Musico, Onoldi 17. April. 1708. ad Praesidem data","Henfling, Konrad",henfling-konrad,"Henfling, Konrad",1710,csv,01-misc,1,01-misc/1,265,294,mit 2 Tafeln,2,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000289
094940371,True,"Observationes circa frictionem Machinarum, una cum idea novae machinae, antliarum Systematis in metalli fodinis vel hydrophylaciis publicis applicandae","Sturm, Leonhard Christoph",sturm-leonhard-christoph,"Sturm, Leonhard Christoph",1710,csv,01-misc,1,01-misc/1,294,307,mit 2 Tafeln,2,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000318
094944628,True,"Tentamen de Natura et Remediis Resistentiarum in Machinis, quae a corporum superincessu oriuntur, occasione dissertationis praecedentis ejusdem argumenti","Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,307,317,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000331
094968497,True,"Brevis descriptio Machinae Arithmeticae, cum Figura","Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,317,319,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000341
094907528,True,Libella Fabricae hactenus non observatae,"Hartsoeker, Nikolaus",hartsoeker-nikolaus,"Hartsoeker, Nikolaus",1710,csv,01-misc,1,01-misc/1,320,321,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000344
094928525,True,"Descriptio Penduli, quod suas exacte numerat vibrationes simplices","Hoffmann, Johann Heinrich",hoffmann-johann-heinrich,"Hoffmann, Johann Heinrich",1710,csv,01-misc,1,01-misc/1,321,325,mit 2 Tafeln,2,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000345
094941327,True,Explicatio Machinae Trituratoriae (Dreschmühle) Erzae inventae l700,,,Ohne Angabe Des Verfassers,1710,csv,01-misc,1,01-misc/1,325,326,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000349
094952620,True,De potentiis quibuscunque Numerorum integrorum ex additione certorum Terminorum seriei naturalis imparium concinnandis,"Chuno, Johann Jakob",chuno-johann-jakob,"Chuno, Johann Jakob",1710,csv,01-misc,1,01-misc/1,327,335,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000351
