autor_key,autor,jahr_von,jahr_bis,rang,score,gnd,gnd_name,geburt,tod,akademiemitglied,berufe,affiliation,lobid
sala-luigi,"Sala, Luigi",1893,1893,2,0.55,104306092,"Salas, Luigi",,,False,,,https://lobid.org/gnd/104306092
sala-luigi,"Sala, Luigi",1893,1893,3,0.306,1024307573,"Sala, Massimiliano",,,False,Autor; Musikwissenschaftler,,https://lobid.org/gnd/1024307573
klatt-johannes,"Klatt, Johannes",1892,1892,1,0.75,116206020,"Klatt, Johannes",1852.0,1903.0,False,Orientalist; Bibliothekar,,https://lobid.org/gnd/116206020
klatt-johannes,"Klatt, Johannes",1892,1892,2,0.75,1277022666,"Klatt, Johannes",1868.0,,False,Arzt,,https://lobid.org/gnd/1277022666
buff-heinrich,"Buff, Heinrich",1876,1876,1,0.75,117153028,"Buff, Heinrich Ludwig",1828.0,1872.0,False,Hochschullehrer; Chemiker,,https://lobid.org/gnd/117153028
buff-heinrich,"Buff, Heinrich",1876,1876,2,0.75,135697239,"Buff, Heinrich",1844.0,1902.0,False,Chemiker; Unternehmer,,https://lobid.org/gnd/135697239
buff-heinrich,"Buff, Heinrich",1876,1876,3,0.67,117153001,"Buff, Johann Heinrich",1805.0,1878.0,False,Physiker; Chemiker; Hochschullehrer,Justus-Liebig-Universität Gießen,https://lobid.org/gnd/117153001
schmidt-moriz,"Schmidt, Moriz",1874,1874,1,0.75,117515833,"Schmidt, Moritz",1823.0,1888.0,False,Klassischer Philologe; Gräzist; Gymnasiallehrer; Hochschullehrer,,https://lobid.org/gnd/117515833
schmidt-moriz,"Schmidt, Moriz",1874,1874,2,0.65,103055871X,"Schmidt, Moriz",1834.0,1903.0,False,General,,https://lobid.org/gnd/103055871X
schmitz-friedrich,"Schmitz, Friedrich",1883,1883,1,0.825,116815876,"Schmitz, Friedrich Karl Johann",1850.0,1895.0,False,Botaniker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/116815876
schmitz-friedrich,"Schmitz, Friedrich",1883,1883,2,0.75,105579266X,"Schmitz, Friedrich",1827.0,1892.0,False,Schriftsteller,,https://lobid.org/gnd/105579266X
schmitz-friedrich,"Schmitz, Friedrich",1883,1883,3,0.65,1025759702,"Schmitz, Friedrich",1862.0,1925.0,False,Pädagoge; Oberlehrer; Schulleiter,,https://lobid.org/gnd/1025759702
schiller-nikolaj,"Schiller, Nikolaj",1875,1875,1,0.525,117643122,"Schiller, Nikolai Nikolajevitch",1848.0,1904.0,False,Physiker,,https://lobid.org/gnd/117643122
schilling-gottfried-wilhelm,"Schilling, Gottfried Wilhelm",1772,1772,1,0.65,1055510524,"Schilling, Gottfried Wilhelm",,,False,Arzt,,https://lobid.org/gnd/1055510524
schilling-gottfried-wilhelm,"Schilling, Gottfried Wilhelm",1772,1772,2,0.152,118607049,"Schelling, Caroline von",1763.0,1809.0,False,Schriftstellerin,,https://lobid.org/gnd/118607049
schlesinger-ludwig,"Schlesinger, Ludwig",1898,1898,1,0.825,117326259,"Schlesinger, Ludwig",1864.0,1933.0,False,Mathematiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Rheinische Friedrich-Wilhelms-Universität Bonn; Budapesti Királyi Magyar Tudományegyetem,https://lobid.org/gnd/117326259
schlesinger-ludwig,"Schlesinger, Ludwig",1898,1898,2,0.75,138214379,"Schlesinger, Ludwig",1838.0,1899.0,False,Politiker; Historiker; Lehrer; Schulleiter,,https://lobid.org/gnd/138214379
schlesinger-ludwig,"Schlesinger, Ludwig",1898,1898,3,0.57,1030035334,"Schlesinger, Louis",1827.0,1900.0,False,Abenteurer,,https://lobid.org/gnd/1030035334
schmidt-carl,"Schmidt, Carl",1895,1895,1,0.75,129842737,"Schmidt, Carl",1867.0,,False,Arzt,Christian-Albrechts-Universität zu Kiel,https://lobid.org/gnd/129842737
schmidt-carl,"Schmidt, Carl",1895,1895,2,0.75,117494097,"Vorsteher-Schmidt, Carl August",1841.0,1903.0,False,Unternehmer; Schriftsteller,,https://lobid.org/gnd/117494097
schmidt-carl,"Schmidt, Carl",1895,1895,3,0.67,1209622114,"Schmidt, Carl",1876.0,,False,Arzt,,https://lobid.org/gnd/1209622114
schutt-franz,"Schütt, Franz",1892,1892,1,0.75,117139823,"Schütt, Franz",1859.0,1921.0,False,Botaniker; Hochschullehrer,Ernst-Moritz-Arndt-Universität Greifswald,https://lobid.org/gnd/117139823
