Startseite,Endseite,Abbilder,ID,Titel,Autor,Jahr,Link,Schriftenreihe,Band,Textbeziehungen
430,431,,094969914,Von der Chinesischen Gans,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000441,04-phys,2,
432,433,,094975922,"Von den Bandwürmern in der Leber der Fische, vorzüglich des Hechtes","Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000443,04-phys,2,
433,440,,094946949,"Von den Flöhen des Kanarienvogels, und mikroskopische Beobachtungen der Frösche","Horch, Friedrich Wilhelm",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000444,04-phys,2,
665,665,,094916349,"Beobachtungen des gefallenen Regens und Schnees, aufgezeichnet zu Wittenberg","Weidler, Johann Friedrich",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000076,04-phys,2,
1,3,,094952450,Ueber die Electricität,"Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000011,04-phys,3,Original: 094924228
3,7,,094897557,Ueber die Entwicklung der Luft in dem leeren Raume der Luftpumpe durch die Mischung verschiedener heterogener Körper,"Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000013,04-phys,3,Original: 094976171
7,15,,094940754,Ueber das Licht und die Farben,"Euler, Leonhard",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000017,04-phys,3,
15,18,,09494394X,Ueber den Stoß und den Druck,Ohne Angabe Des Verfassers,1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000025,04-phys,3,
18,23,,094930082,Ueber die Beschaffenheit der kleinsten Theilchen der Materie,"Euler, Leonhard",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000028,04-phys,3,
23,25,,094909237,Ueber die innere Einrichtung der Fasern der Gedärme,"Lieberkühn, Johann Nathanael",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000033,04-phys,3,Original: 094938598
25,28,,094930635,Ueber die chemische Zergliederung verschiedener Erden und Steine,"Pott, Johann Heinrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000035,04-phys,3,Original: 094946361
28,30,,094938369,Ueber die Mittel die botanische Methode vollkommener zu machen,"Ludolff, Michael Matthias",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000038,04-phys,3,Original: 09490698X
30,32,,094958564,Ueber einige neue Versteinerungen,"Sack, August Friedrich Wilhelm",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000040,04-phys,3,Original: 094901481
33,35,,094954372,Ueber das Kochsalz,"Francheville, Joseph du Fresne de",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000043,04-phys,3,Original: 094958491
35,39,,094976139,Abhandlung über die Electricität der Barometer,"Ludolff, Christian Friedrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000045,04-phys,3,
39,42,,094928363,Beschreibung eines Instrumentes zu den Microscopischen Beobachtungen lebendiger Thiere,"Lieberkühn, Johann Nathanael",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000049,04-phys,3,
42,47,,094916152,Von der Auflösung verschiedener Metalle in dem aufgelöseten Alcali,"Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000052,04-phys,3,
48,92,,094945551,Über die Elemente oder die ersten Grundbestandtheile der Körper,"Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000058,04-phys,3,
